지역,연도,당해계획예산_백만원,세부사업수,예산금액_존재_사업수,예산결측_사업수,예산비수치_사업수,음수예산_사업수,합계출산율,예산_QA_그룹수,예산_QA_일치건수,예산_QA_불일치건수,예산_QA_판정불가건수,예산_QA_허용초과건수,예산_QA_최대절대오차율,원자료_누락주의,소비자물가지수,기준연도,20_39세_인구_명,실질계획예산_2024년가격_백만원,log1p_실질계획예산,20_39세_1인당_실질예산_원,log1p_20_39세_1인당_실질예산,총액기준_재정대응지수_z,재정대응지수_z,재정대응점수_0_100,실질예산_전년증감액_백만원,실질예산_전년증감률,log실질예산_전년변화,log1인당실질예산_전년변화,전년도_합계출산율,전전년도_합계출산율,직전1년_출산율하락도
경기,2017,5514545.0,123,118,5,0,0,1.069,6,0,0,6,0,,,85.339636,2024=100,3656513,6461880.15144569,15.681431033282513,1767224.716949096,14.384921483352631,1.3373693919694734,-1.4753692407132828,34.82622515855156,715646.8412086852,0.12454190468280313,0.11737573761881848,0.11372704609238937,1.194,,
경기,2018,7061650.0,943,879,64,0,0,1.002,6,0,0,6,0,,,86.797969,2024=100,3698625,8135731.839531868,15.911776379339026,2199663.885776976,14.603815582079138,1.5911350201665284,-1.03902579072256,41.48866669853346,1673851.6880861782,0.2590347776276374,0.23034534605651302,0.21889409872650667,1.069,1.194,0.125
경기,2019,8641670.0,1023,1023,0,0,0,0.943,6,3,2,1,0,0.0,,87.068452,2024=100,3696522,9925144.87336929,16.110582081998214,2684995.4831512673,14.803189976110936,1.8101542228036342,-0.6415929159316329,47.556990388089915,1789413.0338374218,0.219944937853358,0.19880570265918784,0.19937439403179802,1.002,1.069,0.06699999999999995
경기,2020,10166623.0,1010,1003,7,0,0,0.878,6,3,3,0,0,0.03,,87.535014,2024=100,3715307,11614350.115943318,16.267752056585902,3126080.86382722,14.955290977665195,1.9833043993441002,-0.3383948116823616,52.18646206833871,1689205.2425740287,0.1701945174731332,0.15716997458768844,0.15210100155425899,0.943,1.002,0.05900000000000005
경기,2021,10065813.95,1149,1149,0,0,0,0.853,8,8,0,0,0,0.0,,89.802171,2024=100,3698716,11208875.952453308,16.23221660737614,3030477.59072427,14.92423111574673,1.9441558958194534,-0.4003095338452078,51.241098463401016,-405474.1634900104,-0.03491148100774111,-0.03553544920976037,-0.03105986191846455,0.878,0.943,0.06499999999999995
경기,2022,9215575.7,1310,1310,0,0,0,0.839,8,7,1,0,0,0.0,,94.590336,2024=100,3619591,9742618.632837925,16.092020595600022,2691635.2242112234,14.80565982845036,1.7897055037965117,-0.6366695128018928,47.63216485336574,-1466257.3196153827,-0.13081216402385654,-0.14019601177611918,-0.1185712872963709,0.853,0.878,0.025000000000000022
경기,2023,12285412.0,1303,1303,0,0,0,0.766,8,5,3,0,0,0.0,,97.706583,2024=100,3560872,12573781.236418841,16.34712442921456,3531096.1012973343,15.077119174191813,2.0707469300764574,-0.09554251055664348,55.894525657088764,2831162.6035809163,0.2905956509514145,0.2551038336145375,0.27145934574145336,0.839,0.853,0.014000000000000012
경기,2024,13821287.0,1315,1302,13,0,0,0.789,8,6,2,0,0,0.0,,100.0,2024=100,3534931,13821287.0,16.441720570224497,3909917.0535436193,15.179026973568936,2.174961100492188,0.10760047511486472,58.99627558898892,1247505.7635811586,0.09921484556832194,0.09459614100993718,0.10190779937712335,0.766,0.839,0.07299999999999995
경남,2016,1481184.0,319,318,1,0,0,1.358,6,3,3,0,0,0.03,,83.786765,2024=100,863615,1767801.8718111387,14.385248018119,2046979.1189489977,14.5318761523095,-0.09060257591488097,-1.1824298347725042,39.29905881029759,,,,,,,
경남,2017,1707499.35,326,323,3,0,0,1.227,6,0,2,4,1,29.81,,85.339636,2024=100,851333,2000828.0208741457,14.509072163075574,2350229.6056585917,14.670024011373387,0.04581134548103462,-0.9070459218051466,43.50384112394408,233026.14906300697,0.1318168923671681,0.12382414495657379,0.1381478590638867,1.358,,
경남,2018,1999188.0,73,73,0,0,0,1.122,3,0,0,3,0,,,86.797969,2024=100,835415,2303265.8748040525,14.649839053462978,2757031.983869158,14.829665653615603,0.2008906599975152,-0.5888163060072957,48.36282597083282,302437.85392990685,0.15115634665980648,0.14076689038740398,0.15964164224221555,1.227,1.358,0.131
경남,2019,2831100.0,583,583,0,0,0,1.046,6,2,3,1,0,0.03,,87.068452,2024=100,810243,3251579.573276438,14.994651766324601,4013091.8419245067,15.205072784272867,0.5807620843074852,0.1595201886497556,59.78902739082339,948313.6984723853,0.41172567563571527,0.3448127128616232,0.3754071306572637,1.122,1.227,0.10499999999999998
경남,2020,1717208.36,657,651,6,0,0,0.945,6,3,3,0,0,0.0,,87.535014,2024=100,777994,1961738.8305895512,14.489342306129998,2521534.6526959734,14.740378659877827,0.024075462261567752,-0.7668009803932365,45.645213300964045,-1289840.7426868866,-0.39668127862766245,-0.5053094601946029,-0.46469412439503976,1.046,1.122,0.07600000000000007
경남,2021,3255588.1419999995,684,684,0,0,0,0.903,8,5,3,0,0,0.0,,89.802171,2024=100,742547,3625288.905320562,15.103444816954706,4882234.936402089,15.401113856584187,0.7006166301416747,0.5503084206298255,65.75589534801504,1663550.0747310107,0.8479977297646051,0.6141025108247078,0.6607351967063604,0.945,1.046,0.10100000000000009
경남,2022,3325544.7,707,707,0,0,0,0.838,8,3,5,0,0,4.92,,94.590336,2024=100,703314,3515734.1020545694,15.07275919423637,4998811.486838836,15.424710939557926,0.6668110575132361,0.5973468408265397,66.47411565062386,-109554.80326599255,-0.030219606251299713,-0.030685622718335637,0.023597082973738637,0.903,0.945,0.041999999999999926
경남,2023,3893879.0,731,731,0,0,0,0.799,8,7,1,0,0,0.0,,97.706583,2024=100,672846,3985278.044162081,15.198117891384042,5923016.625144656,15.594356610967093,0.8049155561551948,0.935518486244703,71.63759139003487,469543.9421075117,0.13355502107884476,0.12535869714767145,0.16964567140916742,0.838,0.903,0.06500000000000006
경남,2024,4041141.0,714,714,0,0,0,0.82,8,8,0,0,0,0.0,,100.0,2024=100,651410,4041141.0,15.212037883260098,6203682.780430144,15.640653831707157,0.8202508583151904,1.0278073562518464,73.04673183026986,55862.95583791891,0.014017329586263338,0.013919991876056415,0.046297220740063594,0.799,0.838,0.038999999999999924
경북,2016,1659180.0,417,416,1,0,0,1.396,5,2,3,0,0,0.11,,83.786765,2024=100,647896,1980241.1514515448,14.49872969390574,3056418.239117922,14.932754605434704,0.034417309391642545,-0.38331881130838064,51.50052643379009,,,,,,,
경북,2017,1817693.0,405,404,1,0,0,1.256,5,0,0,5,0,,,85.339636,2024=100,634477,2129951.66747606,14.571610315596473,3357019.5097317314,15.026564385485282,0.11470804268999672,-0.1963184156454389,54.35579836255245,149710.51602451503,0.07560216386513074,0.07288062169073228,0.09380978005057727,1.396,,
경북,2018,2487325.0,558,558,0,0,0,1.167,6,0,0,6,0,,,86.797969,2024=100,619667,2865648.849456374,14.868305705955388,4624498.076315786,15.346878615239333,0.4415698326352925,0.4421959020321405,64.10514675785609,735697.1819803142,0.3454055757293766,0.2966953903589147,0.320314229754052,1.256,1.396,0.1399999999999999
경북,2019,2232261.0,629,629,0,0,0,1.089,6,3,2,1,0,0.0,,87.068452,2024=100,601357,2563800.0317267617,14.757001493281013,4263357.758746903,15.26556784860961,0.3189488032381472,0.280111037072244,61.63030512259348,-301848.81772961235,-0.10533349813145265,-0.11130421267437463,-0.08131076662972347,1.167,1.256,0.08899999999999997
경북,2020,2646517.0,618,618,0,0,0,1.003,6,4,2,0,0,0.03,,87.535014,2024=100,575280,3023381.0209934963,14.92188663726052,5255494.752109401,15.474784896969965,0.5005985863080251,0.6971642569148415,67.998207966836,459580.98926673457,0.1792577360088412,0.16488514397950738,0.2092170483603546,1.089,1.167,0.07800000000000007
경북,2021,3199705.6,439,439,0,0,0,0.966,6,4,2,0,0,4.98,,89.802171,2024=100,555496,3563060.4075262276,15.086130679220885,6414196.335394364,15.674024425115933,0.681542083536181,1.0943282900775502,74.06242676692625,539679.3865327314,0.17850194295239374,0.16424404196036413,0.19923952814596824,1.003,1.089,0.08600000000000008
경북,2022,3356569.7,742,739,3,0,0,0.93,8,7,1,0,0,0.04,,94.590336,2024=100,529688,3548533.43580469,15.082045241227181,6699289.838177739,15.717512233711114,0.677041260069672,1.1810168785107458,75.38605761925598,-14526.971721537877,-0.004077105089448585,-0.004085437993703422,0.043487808595180866,0.966,1.003,0.03699999999999992
경북,2023,3406826.0,264,264,0,0,0,0.86,8,7,1,0,0,0.0,,97.706583,2024=100,507409,3486792.6964552635,15.064493160287038,6871759.658293928,15.742930913502729,0.6577045774659421,1.2316864694179936,76.15972154679177,-61740.739349426236,-0.017398945357668727,-0.01755208094014371,0.025418679791615162,0.93,0.966,0.03599999999999992
경북,2024,4062706.0,694,694,0,0,0,0.897,8,8,0,0,0,0.0,,100.0,2024=100,491584,4062706.0,15.21736005816818,8264520.407499024,15.927482381631917,0.826114163487385,1.5995713268574663,81.77688242359001,575913.3035447365,0.1651699294111233,0.15286689788114316,0.18455146812918777,0.86,0.93,0.07000000000000006
광주,2016,1102184.9,278,278,0,0,0,1.168,5,1,2,2,1,100.1,,83.786765,2024=100,414797,1315464.2024906916,14.089700927186128,3171344.5432119607,14.96966651737619,-0.4161993134933868,-0.309738613870416,52.62400786554113,,,,,,,
광주,2017,1244520.8,284,280,4,0,0,1.053,5,0,0,5,0,,,85.339636,2024=100,409132,1458315.1022579942,14.192792973441419,3564412.224558319,15.086510004891778,-0.30262541965107126,-0.07682283063040916,56.18035273472304,142850.89976730268,0.10859352880665973,0.10309204625529134,0.11684348751558815,1.168,,
광주,2018,3239297.36,287,286,1,0,0,0.972,6,1,1,4,0,0.0,,86.797969,2024=100,406163,3731996.7244855696,15.132454231218631,9188421.21139929,16.033454794216762,0.7325755664099481,1.8108167116354548,85.00234627942253,2273681.6222275756,1.5591154605113133,0.9396612577772121,0.9469447893249843,1.053,1.168,0.11499999999999999
광주,2019,1088029.0,293,293,0,0,0,0.913,5,3,2,0,0,0.0,,87.068452,2024=100,400391,1249624.8354111086,14.038354732798703,3121011.2999820393,14.953667962283934,-0.4727661141573603,-0.34163013019925,52.137062631994596,-2482371.889074461,-0.6651591821578138,-1.0940994984199275,-1.0797868319328288,0.972,1.053,0.08099999999999996
광주,2020,194720.0,179,178,1,0,0,0.811,5,5,0,0,0,0.0,,87.535014,2024=100,395242,222448.12801423666,12.312453716308486,562815.0045142891,13.240708041121325,-2.3741475101944345,-3.7562440738570166,0.0,-1027176.7073968719,-0.821988070570753,-1.7259010164902175,-1.712959921162609,0.913,0.972,0.05899999999999994
광주,2021,824741.7,195,195,0,0,0,0.896,8,8,0,0,0,0.0,,89.802171,2024=100,387661,918398.3981857187,13.730387649261639,2369076.069518777,14.678011015122843,-0.8120456427249766,-0.8911246302244139,43.746940165306775,695950.270171482,3.1285957602077072,1.4179339329531526,1.4373029740015184,0.811,0.913,0.10199999999999998
광주,2022,870927.5,204,196,8,0,0,0.844,7,6,1,0,0,0.0,,94.590336,2024=100,376036,920736.2367335286,13.7329299723959,2448532.153127702,14.710999690211604,-0.8092448297791518,-0.8253650122968518,44.75101072060729,2337.8385478098644,0.0025455603498745205,0.0025423231342607266,0.032988675088761354,0.896,0.811,-0.08499999999999996
광주,2023,1223803.0,198,198,0,0,0,0.706,7,6,1,0,0,0.29,,97.706583,2024=100,364980,1252528.7062796988,14.040675829248482,3431773.53904241,15.04858804367985,-0.4702090210414464,-0.15241646006992024,55.02612860933167,331792.4695461702,0.3603556114216395,0.3077458568525824,0.3375883534682451,0.844,0.896,0.052000000000000046
광주,2024,1240977.0,200,200,0,0,0,0.699,8,7,1,0,0,0.0,,100.0,2024=100,355795,1240977.0,14.031410336390607,3487898.930563948,15.064810373967557,-0.4804165796307005,-0.12007887031391981,55.51988484950864,-11551.70627969876,-0.009222707808438146,-0.009265492857874591,0.016222330287707365,0.706,0.844,0.138
대구,2016,774602.0,160,158,2,0,0,1.186,6,2,4,0,0,0.12,,83.786765,2024=100,663695,924492.0722264429,13.737000836245754,1392947.1703515062,14.146933044856175,-0.804760062277448,-1.9497753435529748,27.582612526237977,,,,,,,
대구,2017,959658.5,163,163,0,0,0,1.067,6,0,0,6,0,,,85.339636,2024=100,656227,1124516.7485832726,13.932864833790317,1713609.389103576,14.354113041392756,-0.588981661589082,-1.5367827823839841,33.888513979082745,200024.6763568297,0.21636169997122057,0.19586399754456352,0.20717999653658126,1.186,,
대구,2018,1446836.0,232,230,2,0,0,0.987,6,0,0,6,0,,,86.797969,2024=100,648823,1666900.754325254,14.326477224378435,2569114.7729430893,14.75907234044955,-0.15534886946298326,-0.729537001505065,46.21418959909534,542384.0057419813,0.48232630276543786,0.3936123905881175,0.4049592990567934,1.067,1.186,0.119
대구,2019,1765898.0,235,235,0,0,0,0.932,5,4,1,0,0,0.0,,87.068452,2024=100,629627,2028172.0410051623,14.52264596599259,3221227.8714304855,14.985273481805892,0.06076526004119417,-0.27862769428529083,53.09903432232736,361271.2866799084,0.21673233138954795,0.1961687416141551,0.22620114135634317,0.987,1.067,0.07999999999999996
대구,2020,1929459.0,238,238,0,0,0,0.807,6,5,1,0,0,0.0,,87.535014,2024=100,615844,2204213.96174107,14.605881977049346,3579175.8330698516,15.090643397041113,0.15246426328154047,-0.06858332759630165,56.306160071316306,176041.9207359075,0.08679831748822497,0.08323601105675671,0.10536991523522055,0.932,0.987,0.05499999999999994
대구,2021,2164115.0,267,267,0,0,0,0.785,8,8,0,0,0,0.0,,89.802171,2024=100,593786,2409869.356053764,14.695083509851317,4058481.264384415,15.216319635181067,0.2507353305948722,0.18193965886556596,60.13134583211861,205655.3943126942,0.09330101246171707,0.08920153280197063,0.12567623813995432,0.807,0.932,0.125
대구,2022,2523629.0,278,278,0,0,0,0.757,8,8,0,0,0,0.0,,94.590336,2024=100,573820,2667956.481304813,14.79682374934824,4649465.827794105,15.35226311030006,0.36281997320154885,0.4529293533445522,64.2690336957549,258087.12525104918,0.1070958990381432,0.10174023949692312,0.1359434751189923,0.785,0.807,0.02200000000000002
대구,2023,2696432.0,266,266,0,0,0,0.702,8,8,0,0,0,0.0,,97.706583,2024=100,562435,2759723.978884821,14.830641587396821,4906742.963871062,15.40612113597914,0.4000762280535956,0.5602899303140628,65.90830103842568,91767.49758000765,0.03439617483382906,0.03381783804858074,0.05385802567908016,0.757,0.785,0.028000000000000025
대구,2024,2848338.0,253,253,0,0,0,0.754,8,8,0,0,0,0.0,,100.0,2024=100,550732,2848338.0,14.862246575329264,5171913.01758387,15.45875339413861,0.43489464203131534,0.6652070625698737,67.51025990869577,88614.02111517917,0.03210974060927185,0.03160498793244315,0.052632258159469814,0.702,0.757,0.05500000000000005
대전,2016,709547.0,230,230,0,0,0,1.192,6,0,6,0,2,24192.52,,83.786765,2024=100,435675,846848.544635898,13.64927832460394,1943762.0809913306,14.480136384657495,-0.9014017294737393,-1.2855678766399647,37.72426451808403,,,,,,,
대전,2017,935218.2,236,232,4,3,0,1.075,6,0,0,6,0,,,85.339636,2024=100,429257,1095877.88726917,13.907067236067595,2552964.511397997,14.75276618708341,-0.6174022209976289,-0.7421076862880751,46.02225030795639,249029.34263327206,0.2940659746192775,0.25778891146365446,0.2726298024259144,1.192,,
대전,2018,997696.4,260,257,3,3,0,0.952,6,0,0,6,0,,,86.797969,2024=100,422995,1149446.7111321464,13.954792133792457,2717400.2319936324,14.815186552144464,-0.5648249110622308,-0.6176789438099537,47.92212808238286,53568.823862976395,0.04888211039321644,0.0477248977248621,0.06242036506105464,1.075,1.192,0.11699999999999999
대전,2019,685088.0,192,192,0,0,0,0.883,6,2,4,0,0,0.23,,87.068452,2024=100,413109,786838.383206813,13.575779419158943,1904674.9966880726,14.459822471598912,-0.9823736103098725,-1.3260616266239174,37.105973486080536,-362608.3279253334,-0.3154633654727522,-0.3790127146335145,-0.35536408054555224,0.952,1.075,0.123
대전,2020,1247751.0,299,299,0,0,0,0.805,6,2,4,0,0,0.04,,87.535014,2024=100,406576,1425430.7424912276,14.169985302983395,3505939.2155248406,15.069969292271391,-0.3277520519906358,-0.10979508366086804,55.676905946965384,638592.3592844146,0.8115927907352312,0.5942058838244524,0.6101468206724796,0.883,0.952,0.06899999999999995
대전,2021,1337995.0,294,294,0,0,0,0.81,8,4,4,0,0,0.02,,89.802171,2024=100,399066,1489936.1397398734,14.214244488937654,3733558.207764814,15.132872547846898,-0.27899282885262133,0.01559625266637652,57.591481375835095,64505.39724864578,0.045253266486949384,0.044259185954258484,0.06290325557550602,0.805,0.883,0.07799999999999996
대전,2022,1500606.3,322,322,0,0,0,0.842,8,7,1,0,0,0.0,,94.590336,2024=100,391878,1586426.6514498903,14.276995286349667,4048266.683635954,15.213799615143543,-0.20986186615794264,0.17691625145706877,60.05464442135758,96490.51171001699,0.0647615083199895,0.06275079741201317,0.08092706729664556,0.81,0.805,-0.0050000000000000044
대전,2023,1222344.0,235,235,0,0,0,0.787,8,7,1,0,0,0.0,,97.706583,2024=100,387193,1251035.4599136887,14.039482933639611,3231038.4224758423,14.98831444605558,-0.47152320389228725,-0.27256583679471774,53.191591621297945,-335391.19153620163,-0.21141298353105453,-0.23751235271005555,-0.22548516908796223,0.842,0.81,-0.03199999999999992
대전,2024,1676350.0,162,162,0,0,0,0.792,8,8,0,0,0,0.0,,100.0,2024=100,384407,1676350.0,14.332129965304986,4360872.720840151,15.288182989936992,-0.14912138808851846,0.3251920549993053,62.318638238418416,425314.5400863113,0.3399700118137774,0.29264703166537487,0.29986854388141104,0.787,0.842,0.05499999999999994
부산,2016,1757736.53,552,551,1,0,0,1.095,6,2,4,0,0,1.59,,83.786765,2024=100,938715,2097868.953408095,14.556433080034374,2234830.5432512476,14.619676411042091,0.0979876670338467,-1.0074088176306772,41.971419985881596,,,,,,,
부산,2017,3477747.6,513,507,6,0,0,0.976,6,0,0,6,0,,,85.339636,2024=100,919415,4075184.4781714324,15.220426819736963,4432366.752958601,15.304444480717464,0.8294927369613269,0.3576077072732805,62.81358639968984,1977315.5247633373,0.9425352911348859,0.6639937397025886,0.6847680696753731,1.095,,
부산,2018,2341626.0,570,569,1,0,0,0.899,6,0,0,6,0,,,86.797969,2024=100,899448,2697788.930982936,14.807943451704034,2999382.878146303,14.913917451589034,0.37507026738804394,-0.42086878979041964,50.9271832646203,-1377395.5471884962,-0.33799587590855384,-0.4124833680329285,-0.39052702912842996,0.976,1.095,0.119
부산,2019,2525413.0,556,556,0,0,0,0.827,6,4,2,0,0,0.08,,87.068452,2024=100,871859,2900491.4432152766,14.880391088546222,3326789.5877834335,15.017518609762446,0.45488399225548487,-0.21435026305342247,54.08047366313019,202702.5122323404,0.0751365349247266,0.07244763684218825,0.10360115817341153,0.899,0.976,0.07699999999999996
부산,2020,3494318.0,545,545,0,0,0,0.747,6,4,2,0,0,0.0,,87.535014,2024=100,850001,3991908.883455482,15.19978034187399,4696357.867173664,15.36229805732612,0.8067470357146926,0.47293301461865617,64.57446562976732,1091417.4402402053,0.37628707465874767,0.3193892533277669,0.34477944756367407,0.827,0.899,0.07200000000000006
부산,2021,3944822.1,685,685,0,0,0,0.728,8,7,1,0,0,0.0,,89.802171,2024=100,820849,4392791.461578362,15.295475678859543,5351521.974904473,15.492891746568327,0.9121721624707153,0.73325844706514,68.54932299288824,400882.57812287984,0.10042377965698135,0.09569533698555333,0.1305936892422075,0.747,0.827,0.07999999999999996
부산,2022,5106355.100000001,748,748,0,0,0,0.723,8,4,4,0,0,0.0,,94.590336,2024=100,791825,5398389.852426363,15.501611476835158,6817655.229913634,15.73502630945158,1.1392667452905028,1.215929433378396,75.91913049068805,1005598.3908480015,0.2289201296359018,0.206135797975616,0.24213456288325297,0.728,0.747,0.019000000000000017
부산,2023,4317819.0,722,722,0,0,0,0.664,8,4,4,0,0,0.0,,97.706583,2024=100,768246,4419168.972473431,15.301462447386152,5752283.737856666,15.565107679566832,0.9187676335841308,0.8772136725928842,70.74734676171964,-979220.8799529318,-0.18139128642456426,-0.20014902944900648,-0.16991862988474793,0.723,0.728,0.0050000000000000044
부산,2024,4796613.0,683,683,0,0,0,0.683,8,6,2,0,0,0.0,,100.0,2024=100,747346,4796613.0,15.383420810288046,6418195.855734827,15.674647772623873,1.009059084242303,1.095570870867713,74.08139948640523,377444.0275265686,0.08541063486769351,0.08195836290189362,0.10954009305704027,0.664,0.723,0.05899999999999994
서울,2016,4173074.0,103,102,1,0,0,0.94,5,4,1,0,0,0.0,,83.786765,2024=100,3063675,4980588.521349404,15.421058819775745,1625690.8847542263,14.30144405836279,1.0505239251225233,-1.641773121988855,32.2854373203288,,,,,,,
서울,2017,4761473.0,128,124,4,0,0,0.836,5,0,0,5,0,,,85.339636,2024=100,3026304,5579439.077991849,15.534598984876748,1843647.9210257293,14.42725727507294,1.1756082466237905,-1.3909770824742032,36.11479227400321,598850.5566424448,0.12023690655741959,0.11354016510100351,0.12581321671014933,0.94,,
서울,2018,5912413.0,184,184,0,0,0,0.761,5,0,0,5,0,,,86.797969,2024=100,2998560,6811695.09853393,15.734151707105703,2271655.4274498196,14.636019827075655,1.395450421782993,-0.9748298555745593,42.46886169180565,1232256.0205420814,0.2208566135980814,0.1995527222289546,0.20876255200271565,0.836,0.94,0.10399999999999998
서울,2019,5907309.0,162,162,0,0,0,0.717,6,5,0,1,0,0.0,,87.068452,2024=100,2966582,6784672.133598976,15.73017667523421,2287033.4053125703,14.642766516753838,1.3910712299423853,-0.9613810058005267,42.67420950990948,-27022.96493495442,-0.003967142472476537,-0.003975031871492618,0.006746689678182705,0.761,0.836,0.07499999999999996
서울,2020,6677517.0,177,176,1,0,0,0.642,6,5,1,0,0,0.0,,87.535014,2024=100,2935517,7628395.421288217,15.847388213582326,2598654.8268288746,14.770504879625266,1.5202002102759202,-0.7067473803361585,46.56215980183221,843723.2876892416,0.12435726754001353,0.1172115383481156,0.12773836287142792,0.717,0.761,0.04400000000000004
서울,2021,7529092.0,228,228,0,0,0,0.626,8,7,1,0,0,0.0,,89.802171,2024=100,2861556,8384086.839058713,15.941846162475041,2929904.862619747,14.890480851678388,1.6242621379394575,-0.46758730308319085,50.21384755703817,755691.4177704956,0.09906295833349454,0.09445794889271575,0.1199759720531226,0.642,0.717,0.07499999999999996
서울,2022,7957659.899999999,227,227,0,0,0,0.593,8,8,0,0,0,0.0,,94.590336,2024=100,2815291,8412762.060597818,15.94526052265101,2988238.892746014,14.910195107402378,1.6280236519868612,-0.42828890990287494,50.813886923240744,28675.22153910529,0.00342019615129896,0.0034143601759684117,0.019714255723989993,0.626,0.642,0.016000000000000014
서울,2023,8314712.0,230,230,0,0,0,0.552,8,6,2,0,0,0.01,,97.706583,2024=100,2783216,8509879.011939248,15.956738400795544,3057570.4551638276,14.933131516724616,1.6406685393595906,-0.38256747642298383,51.51199841704321,97116.95134142973,0.011544003104080325,0.01147787814453416,0.02293640932223795,0.593,0.626,0.03300000000000003
서울,2024,4872683.0,237,237,0,0,0,0.581,8,8,0,0,0,0.0,,100.0,2024=100,2750925,4872683.0,15.399155472606212,1771288.9300871524,14.387218613183684,1.026393562824121,-1.4707901425951073,34.896142498937515,-3637196.011939248,-0.4274086631356697,-0.5575829281893316,-0.5459129035409322,0.552,0.593,0.040999999999999925
세종,2016,97707.0,114,114,0,0,0,1.821,5,5,0,0,0,0.0,,83.786765,2024=100,72474,116613.88287279023,11.666632185171625,1609044.3865771203,14.291151633517716,-3.0856327186341184,-1.6622900394927902,31.972168578805334,,,,,,,
세종,2017,89445.0,102,102,0,0,0,1.668,5,0,0,5,0,,,85.339636,2024=100,82673,104810.61812825169,11.559919904726964,1267773.2527941612,14.052773364055357,-3.203194932705229,-2.137473231297259,24.7166907293118,-11803.264744538537,-0.10121663436431738,-0.10671228044466119,-0.23837826946235907,1.821,,
