source_name,provider,source_url,accessed_at,period,license,modified,included_fields,redistribution,note
문화기반시설 보급도,KOSIS(통계청 국가통계포털),https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL20931,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,문화기반시설 보급도,"링크만 제공, 원문 재배포 안 함",찾는 방법: KOSIS → e-지방지표 → 삶의 질 → 인구 십만명당 문화기반시설수 / 보조 출처: e-지방지표 https://kosis.kr/visual/eRegionIndex/index.do
도시공원 보급도,KOSIS(통계청 국가통계포털),http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1YL21281&tmprScrId=20260715192137553_dbabe38d3c9b47a4,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,도시공원 보급도,"링크만 제공, 원문 재배포 안 함",찾는 방법: KOSIS → e-지방지표 → 삶의 질 → ‘인구 천명당 도시공원 조성면적’. 원자료는 국토교통부·한국국토정보공사 도시계획현황 / 보조 출처: 국토교통 통계누리 https://stat.molit.go.kr/
여가생활 만족도,KOSIS(통계청 국가통계포털),http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=INH_1SSCL091R&tmprScrId=20260715192258581_2e67f903b62d42df,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,여가생활 만족도,"링크만 제공, 원문 재배포 안 함",찾는 방법: KOSIS → 사회조사 → 문화와 여가 → ‘여가활용 만족도(시도)’ / 보조 출처: 사회조사 MDIS https://mdis.mods.go.kr/ofrData/selectOrgOfrData.do?curMenuNo=UI_POR_P9220
가사노동 공동 참여도,마이크로데이터 통합서비스(MDIS),https://mdis.mods.go.kr/ofrData/selectOrgOfrData.do?curMenuNo=UI_POR_P9220,2026-07-15,"2020, 2023",원 제공기관 이용조건 확인 필요,yes,가사노동 공동 참여도,"링크만 제공, 원문 재배포 안 함",찾는 방법: MDIS → 가족실태조사 → 2010·2015·2020·2023 원자료·코드북. / 보조 출처: 성평등가족부 가족실태조사 https://www.mogef.go.kr/nw/enw/nw_enw_s001d.do?bbtSn=711884&mid=mda700
돌봄노동 공동 참여도,마이크로데이터 통합서비스(MDIS),https://mdis.mods.go.kr/ofrData/selectOrgOfrData.do?curMenuNo=UI_POR_P9220,2026-07-15,"2020, 2023",원 제공기관 이용조건 확인 필요,yes,돌봄노동 공동 참여도,"링크만 제공, 원문 재배포 안 함",찾는 방법: MDIS → 가족실태조사 → 2010·2015·2020·2023 원자료·코드북. / 보조 출처: 성평등가족부 가족실태조사 https://www.mogef.go.kr/nw/enw/nw_enw_s001d.do?bbtSn=711884&mid=mda700
분만 가능 산부인과 보급도,건강보험심사평가원(HIRA) 보건의료빅데이터,https://opendata.hira.or.kr/,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,분만 가능 산부인과 보급도,"링크만 제공, 원문 재배포 안 함",찾는 방법: 현재값: HIRA 병원·약국 찾기에서 분만실 보유 조건 검색. 과거값: HIRA 보건의료자원 개방데이터 또는 연도별 저장본·공공데이터 아카이브 탐색 / 보조 출처: HIRA 병원·약국 찾기 https://www.hira.or.kr/
분만실 병상수 보급도,KOSIS(통계청 국가통계포털),http://kosis.kr/statHtml/statHtml.do?orgId=354&tblId=DT_HIRA49_3&tmprScrId=20260716080206914_911e31072f104c33,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,분만실 병상수 보급도,"링크만 제공, 원문 재배포 안 함",원지표 자료 확보가 어려워 사용한 대체지표
난임시술기관 보급도,건강보험심사평가원(HIRA) 보건의료빅데이터,https://opendata.hira.or.kr/,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,난임시술기관 보급도,"링크만 제공, 원문 재배포 안 함",연구팀 검토 결과 자료 확보 어려워 제외 검토 중인 지표 / 찾는 방법: HIRA 의료기관 찾기에서 난임시술(인공·체외) 조건 검색. 과거는 연도별 난임시술 의료기관 평가·통계보고서와 지정기관 명단 아카이브 결합 / 보조 출처: HIRA 병원·약국 찾기 https://www.hira.or.kr/
소아청소년과 보급도,KOSIS(통계청 국가통계포털),https://kosis.kr/statHtml/statHtml.do?orgId=354&tblId=DT_HIRA4S,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,소아청소년과 보급도,"링크만 제공, 원문 재배포 안 함",찾는 방법: KOSIS → 건강보험심사평가원 → 요양기관 현황 → 시도별 표시과목별 의원 현황 → 소아청소년과 / 보조 출처: HIRA 보건의료빅데이터개방 https://opendata.hira.or.kr/
소아청소년과 전문인력 보급도,KOSIS(통계청 국가통계포털),http://kosis.kr/statHtml/statHtml.do?orgId=354&tblId=DT_HIRA4S&tmprScrId=20260716081611653_ffbf4ac7f2d74c33,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,소아청소년과 전문인력 보급도,"링크만 제공, 원문 재배포 안 함",원지표 자료 확보가 어려워 사용한 대체지표
산후조리원 보급도 (2023),공공데이터포털,https://www.data.go.kr/data/15004303/fileData.do,2026-07-15,2023,원 제공기관 이용조건 확인 필요,yes,산후조리원 보급도,"링크만 제공, 원문 재배포 안 함",찾는 방법: 공공데이터포털 → ‘보건복지부 전국 산후조리원 현황_20231231’ 다운로드 / 보조 출처: 공공데이터포털 https://www.data.go.kr/
산후조리원 보급도 (2024~),한국사회보장정보원 아이사랑포털,https://www.childcare.go.kr/?menuno=640,2026-07-15,2024-2025,원 제공기관 이용조건 확인 필요,yes,산후조리원 보급도,"링크만 제공, 원문 재배포 안 함","찾는 방법: 한국사회보장정보원의 '아이사랑' 포털에서 2023, 2024, 2025 자료 확인"
산후조리원 이용 요금 (2023),공공데이터포털,https://www.data.go.kr/data/15004303/fileData.do,2026-07-15,2023,원 제공기관 이용조건 확인 필요,yes,산후조리원 이용 요금,"링크만 제공, 원문 재배포 안 함",찾는 방법: 공공데이터포털 → 전국 산후조리원 현황 → 일반실/특실 14일 요금 열 사용 / 보조 출처: 공공데이터포털 https://www.data.go.kr/
산후조리원 이용 요금 (2024~),한국사회보장정보원 아이사랑포털,https://www.childcare.go.kr/?menuno=640,2026-07-15,2024-2025,원 제공기관 이용조건 확인 필요,yes,산후조리원 이용 요금,"링크만 제공, 원문 재배포 안 함","찾는 방법: 한국사회보장정보원의 '아이사랑' 포털에서 2023, 2024, 2025 자료 확인"
학교폭력 발생률,학교알리미(교육부),https://www.schoolinfo.go.kr/si/pi/pnsipi_a01_l0_excel.do,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,학교폭력 발생률,"링크만 제공, 원문 재배포 안 함",연구팀 검토 결과 자료 확보 어려워 제외 검토 중인 지표 / 찾는 방법: 학교알리미 → 공시정보 → 공개용 데이터/Excel → ‘학교폭력 발생 및 조치’ 관련 항목. 교육부 보도자료 첨부파일도 병행 / 보조 출처: 교육부 https://www.moe.go.kr/
어린이 교통사고 발생률,도로교통공단 TAAS,https://taas.koroad.or.kr/sta/acs/gus/selectAgeTfcacd.do?menuId=WEB_KMP_OVT_MVT_TAG_AGT,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,어린이 교통사고 발생률,"링크만 제공, 원문 재배포 안 함",찾는 방법: TAAS → 교통사고 통계 → 연령층 사고 또는 지역별 교통사고 → 연도·시도·12세 이하 선택 / 보조 출처: TAAS https://taas.koroad.or.kr/
사회 안전에 대한 인식,KOSIS(통계청 국가통계포털),http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=INH_1SSSA010R&tmprScrId=20260715193106893_96d42d37ebd74f98,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,사회 안전에 대한 인식,"링크만 제공, 원문 재배포 안 함",찾는 방법: KOSIS → 사회조사 → 안전 → ‘사회안전에 대한 인식(시도)’ 또는 ‘전반적인 사회 안전’ / 보조 출처: 사회조사 MDIS https://mdis.mods.go.kr/ofrData/selectOrgOfrData.do?curMenuNo=UI_POR_P9220
저출생 대응 예산액,저출산고령사회위원회,https://www.betterfuture.go.kr/front/policySpace/actionPlan.do,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,저출생 대응 예산액,"링크만 제공, 원문 재배포 안 함",찾는 방법: 저출산고령사회위원회 → 정책공간 → 저출산·고령사회 시행계획 → 연도별 지자체 시행계획 첨부파일 / 보조 출처: 저출산고령사회위원회 https://www.betterfuture.go.kr/
근로시간,KOSIS(통계청 국가통계포털),https://kosis.kr/statHtml/statHtml.do?orgId=118&tblId=DT_118N_MON048&conn_path=I2,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,근로시간,"링크만 제공, 원문 재배포 안 함",찾는 방법: KOSIS → e-지방지표 → 고용과 노동 → 근로시간(시도) 또는 사업체노동력조사 통계표 / 보조 출처: 2020~2025 근로시간(시도) https://kosis.kr/statHtml/statHtml.do?orgId=118&tblId=DT_118N_MON061&conn_path=I2
육아휴직 사용률,KOSIS(통계청 국가통계포털),http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_CC2024I001&tmprScrId=20260715193449982_69e1e3cf99074921,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,육아휴직 사용률,"링크만 제공, 원문 재배포 안 함",찾는 방법: KOSIS → 육아휴직통계 → 출생아 부모의 육아휴직 사용률 → 시도·부/모·출생연도 선택 / 보조 출처: KOSIS https://kosis.kr/
가족친화인증기업 비율,공공데이터포털,https://www.data.go.kr/data/3071994/fileData.do#layer_data_infomation,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,가족친화인증기업 비율,"링크만 제공, 원문 재배포 안 함",보조 출처: ~2016 전국사업체조사(9차분류) http://kosis.kr/statHtml/statHtml.do?orgId=118&tblId=DT_118N_SAUP72&tmprScrId=20260715194024183_7ade8cf4e0c04ff5
결혼에 대한 인식,KOSIS(통계청 국가통계포털),http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1SSFA060R&tmprScrId=20260715194650901_292f93e266614faf,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,결혼에 대한 인식,"링크만 제공, 원문 재배포 안 함",찾는 방법: KOSIS → 사회조사 → 가족 → ‘결혼에 대한 견해’ 또는 MDIS 사회조사 원자료 / 보조 출처: 사회조사 MDIS https://mdis.mods.go.kr/ofrData/selectOrgOfrData.do?curMenuNo=UI_POR_P9220
출산에 대한 인식,KOSIS(통계청 국가통계포털),http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1SSFA056R&tmprScrId=20260715194805121_4ef2430a1f714ed8,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,출산에 대한 인식,"링크만 제공, 원문 재배포 안 함",찾는 방법: KOSIS → 사회조사 → 가족 → ‘결혼하면 자녀를 가져야 한다’ / 보조 출처: 사회조사 MDIS https://mdis.mods.go.kr/ofrData/selectOrgOfrData.do?curMenuNo=UI_POR_P9220
가사분담에 대한 성평등 인식,KOSIS(통계청 국가통계포털),http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1SSFA112R&tmprScrId=20260715194955138_1fefe54110914dfa,2026-07-15,2016-2024,원 제공기관 이용조건 확인 필요,yes,가사분담에 대한 성평등 인식,"링크만 제공, 원문 재배포 안 함",찾는 방법: KOSIS → 사회조사 → 가족 → ‘가사 분담에 대한 견해’ / 보조 출처: 사회조사 MDIS https://mdis.mods.go.kr/ofrData/selectOrgOfrData.do?curMenuNo=UI_POR_P9220
사회경제적 지위에 대한 인식,마이크로데이터 통합서비스(MDIS),https://mdis.mods.go.kr/ofrData/selectOrgOfrData.do?curMenuNo=UI_POR_P9220,2026-07-15,"2015, 2020, 2023",원 제공기관 이용조건 확인 필요,yes,사회경제적 지위에 대한 인식,"링크만 제공, 원문 재배포 안 함",찾는 방법: MDIS → 가족실태조사 → 연도별 원자료·코드북 → 주관적 계층/사회경제적 지위 문항 확인 / 보조 출처: 성평등가족부 가족실태조사 https://www.mogef.go.kr/nw/enw/nw_enw_s001d.do?bbtSn=711884&mid=mda700
합계출산율,KOSIS(통계청 국가통계포털),https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1B81A21,2026-07-27,2016-2024,원 제공기관 이용조건 확인 필요,no,합계출산율,"링크만 제공, 원문 재배포 안 함","통계표명: 시도/합계출산율, 모의 연령별 출산율(tblId DT_1B81A21) / 원자료 파일명: 2016-2025_시도별_출생아수_합계출산율_20260703"
